,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
499,House for Sale,"$398,000","2421 Clayborn Dr,",Chesterfield,MO,63017,"2,412",4,2.5,https://www.realtor.com//realestateandhomes-detail/2421-Clayborn-Dr_Chesterfield_MO_63017_M78699-23939
500,House for Sale,"$535,000","14726 Mill Spring Dr,",Chesterfield,MO,63017,"3,110",5,4.5,https://www.realtor.com//realestateandhomes-detail/14726-Mill-Spring-Dr_Chesterfield_MO_63017_M82940-35739
501,Condo/Townhome,"$130,000","15631 Hedgeford Ct Apt 20,",Chesterfield,MO,63017,"1,157",2,2,https://www.realtor.com//realestateandhomes-detail/15631-Hedgeford-Ct-Apt-20_Chesterfield_MO_63017_M81874-22952
502,House for Sale,"$500,000","13969 Cedar Grove Ct,",Chesterfield,MO,63017,"2,783",4,2.5+,https://www.realtor.com//realestateandhomes-detail/13969-Cedar-Grove-Ct_Chesterfield_MO_63017_M83234-09341
503,House for Sale,"$899,900","676 Savannah View Way,",Chesterfield,MO,63017,"3,315",5,4.5,https://www.realtor.com//realestateandhomes-detail/676-Savannah-View-Way_Town-and-Country_MO_63017_M71472-38812
504,House for Sale,"$274,900","1964 Claymills Dr,",Chesterfield,MO,63017,"2,485",4,2.5,https://www.realtor.com//realestateandhomes-detail/1964-Claymills-Dr_Chesterfield_MO_63017_M81534-99572
505,House for Sale,"$649,000","2108 Chesterfield Pl,",Chesterfield,MO,63017,"3,954",5,3.5+,https://www.realtor.com//realestateandhomes-detail/2108-Chesterfield-Pl_Chesterfield_MO_63017_M84056-40939
506,Condo/Townhome,"$575,000","14221 Woods Mill Cove Dr,",Chesterfield,MO,63017,"3,557",4,3.5,https://www.realtor.com//realestateandhomes-detail/14221-Woods-Mill-Cove-Dr_Chesterfield_MO_63017_M83522-61588
507,House for Sale,"$374,900","322 Stonecrest Ct,",Chesterfield,MO,63017,"2,496",4,2.5,https://www.realtor.com//realestateandhomes-detail/322-Stonecrest-Ct_Chesterfield_MO_63017_M88272-76035
508,House for Sale,"$499,999","14931 Greenleaf Valley Dr,",Chesterfield,MO,63017,"2,726",5,3.5,https://www.realtor.com//realestateandhomes-detail/14931-Greenleaf-Valley-Dr_Chesterfield_MO_63017_M82772-28799
509,House for Sale,"$785,000","743 Kraffel Ln,",Town and Country,MO,63017,"3,840",5,4.5,https://www.realtor.com//realestateandhomes-detail/743-Kraffel-Ln_Chesterfield_MO_63017_M74354-02346
510,Condo/Townhome,"$129,500","13453 Coliseum Dr Apt B,",Chesterfield,MO,63017,"1,280",3,2,https://www.realtor.com//realestateandhomes-detail/13453-Coliseum-Dr-Apt-B_Chesterfield_MO_63017_M70789-26151
511,House for Sale,"$425,000","14807 Lupine Ct,",Chesterfield,MO,63017,"2,032",3,2,https://www.realtor.com//realestateandhomes-detail/14807-Lupine-Ct_Chesterfield_MO_63017_M78357-81518
512,House for Sale,"$289,900","15428 Eaglepass Dr,",Chesterfield,MO,63017,"1,748",3,2.5,https://www.realtor.com//realestateandhomes-detail/15428-Eaglepass-Dr_Chesterfield_MO_63017_M74239-51216
513,House for Sale,"$389,900","14261 Finger Lake Dr,",Chesterfield,MO,63017,"2,340",5,2.5+,https://www.realtor.com//realestateandhomes-detail/14261-Finger-Lake-Dr_Chesterfield_MO_63017_M79267-39460
514,House for Sale,"$300,000","1153 Richland Dr,",Chesterfield,MO,63017,"1,908",4,2,https://www.realtor.com//realestateandhomes-detail/1153-Richland-Dr_Chesterfield_MO_63017_M89505-23953
